COMUNE AZIENDA;TITOLARE;DENOMINAZIONE AZIENDA;INDIRIZZO AZIENDA;POSTI LETTO;POSTI MACCHINA;POSTI TENDA;POSTI ROULOTTE;RECAPITI
COLLE SANNITA;MARTUCCIO PASQUALINA;LE ANTICHE MASSERIE;LOC. BANNERA;12;40;2;;martucciopasqualina@gmail.com
COLLE SANNITA;MOFFA  MARIA ANTONIETTA;MOFFA MARIA ANTONIETTA;C.DA MASSERIA PAQUALONE;4;16;;;pasqualone.quad@virgilio.it
COLLE SANNITA;ANTONELLI MIRIAM ADDOLORATA;LA TAVERNA DEI BENEDETTINI;FRAZ. DECORATA, VIA CARMINELLI N.38;12;40;;;nd
COLLE SANNITA;MUCCI SABINA;MUCCI SABINA;C.DA MANDRONI, 17;;;3;;nd
DUGENTA;GIGLIOTTI CARMINE;TENUTE DEL GHEPPIO SRL;VIA SANATA MARIA IMPESOLEN.5;24;120;;;nd
DUGENTA;PINGITORE SIMONA;FATTORIE DELLE TORE;II TRAV. TORE,7;;20;;;nd
DUGENTA;MERCOGLIANO ANNA;AGRITURISMO LANZI;LANZI, 11;4;30;;;annamercogliano@virgilio.it
DURAZZANO;BUFFOLINO  VINCENZO;VILLA MARGHERITA;C.DA FORMA;7;40;;;nd
DURAZZANO;DI NUZZO MARIA;IL MELOGRANO;VIA FUNARI,3;;40;;;nd
FOGLIANISE;SILVESTRI ELISABETTA;IL CARRO DI GRANO;VIA MAZZELLA;4;40;;;nd
FOGLIANISE;SIMEONE ANTONIO;ANTICA MASSERIA SIMEONE;via torre verzillo;12;40;;;nd
FOGLIANISE;RAPUANO CONCETTA;CAPOLANA;C/DA CIENZI;6;30;;;rapuanoconcetta@libero.it
FOIANO DI VAL FORTORE;COLASANTO LUCA;COLASANTO;VIA BRECCIA SAN GIOVANNI;6;;;;luca.colasanto1936@gmail.com
FRAGNETO MONFORTE;COCCHIARELLA NICOLINA;LA BOTTE;C.DA MONTERONE;12;40;;;nd
LIMATOLA;ILLUMINATO RITA;ILLUMINATO RITA;LOC.SCAFA;10;100;5;;nd
LIMATOLA;PATIERNO FERDINANDO;PATIERNO FERDINANDO;VIA PARADISO;;40;;;nd
LIMATOLA;CANELLI MATILDE;MASSERIA GILGI;LOC. CASAMARENA BIANCANO;10;48;;;massariagiglio@pec.it
MELIZZANO;MICILLO CLELIA;MICILLO;VIA NAZIONALE 75-76;4;;;;clelia.micillo@pec.it
MELIZZANO;BRUNO TATIANA;CASA LERARIO;LOC. LAURA;;;;;nd
MELIZZANO;BOVA  SERENELLA;GIRAVENTO;C/DA CASTAGNETO, 7;12;12;;;nd
MELIZZANO;RENZI GIOVANNI;IL GLICINE;C/DA SAN TAMMARO;10;;;;nd
MOLINARA;LA BELLA PIERINO;LA BELLA FATTORIA;LOC. FILCETA, 1;6;;;;nd
MOLINARA;GIROLAMO MICHELE;PRETI LONGHE;C/DA PRETI LONGHE;;45;;;nd
MONTESARCHIO;DAMIANO SANDRA;LA VISTA DEL TABURNO;C/DA MOIONE,1;8;45;;;nd
PAGO VEIANO;DE IESO ANTONIO;TAVERNA ROCCA;C/DA PIANE,298;4;61;;;nd
PESCO SANNITA;DE PALMA ROSSELLA;DE PALMA ROSSELLA;VIA III TRONCO SS 212,39;;48;;;nd
PESCO SANNITA;RICCI PINUCCIA;RICCI PINUCCIA;C/DA MONTELEONE SS212 KM 24,600;10;;;;nd
PIETRELCINA;CRAFA GIOVANNI;MASSERIA DEI CRAFA;C/DA DIFESA;11;28;;;nd
PIETRELCINA;SANSANO CARMINE;LA VECCHIA FATTORIA;C/DA PIANA ROMANA;;45;;;nd
PIETRELCINA;BOFFA FRANCESCO;FONTANA DEI FIERI;C/DA FONTANA DEI FIERI;10;40;;;f.boffa@virgilio.it
PIETRELCINA;CANCELLIERI  BARBARA;IL MONTE;VIA MONTE,55;12;65;;;nd
PIETRAROJA;BELLO NICOLA AGOSTINO;BELLO NICOLA AGOSTINO;C/DA MONTEPIANO, 1;9;36;;;nd
PIETRAROJA;PARCIASEPE VINCENZA;LE CASELLE;C/DA CASE TORRILLO, 42;4;40;;;nd
PONTE;PECA ALBA;LA BADESSA;LOC. MONTE;4;50;;;agri.badessa@libero.it
PONTE;SILVESTRI  GIUSEPPINA;LA VOLTA;VIA COLLI;8;40;;;nd
PONTE;CORBO ANGELO ANTONIO;PIETREIONNE;LOC. PIANA;10;45;;;info@lpietreionne.eu
PONTELANDOLFO;DE BERNARDO MARIA LIBERA;LA RUZZOLA;C.DA GROTTE;6;30;;;nd
PUGLIANELLO;CIERVO ANGELA;LA MIMOSA;VIA MARAFI, 13;7;20;;;nd
REINO;VIGNOGNA MARIA TERESA;VIGNOGNA MARIA TERESA;C/DA TOPPO SAN PIETRO;5;;;;az.agricolavignognaterry@cia.legalmail.it
S.ARCANGELO TRIMONTE;PANARESE MICHELA;CASHBOX;C/DA MANDRILI;;28;;;nd
SAN LEUCIO DEL SANNIO;SEVERINI ELENA ANTONIETTA;VILLA ELENA;LOC. VARICCHIO;4;40;;;nd
SAN LEUCIO DEL SANNIO;PORCARO ANNAMARIA;IL CASALE DEI COLLINARI;VIA ALVANELLE;6;40;;;nd
S. GIORGIO DEL SANNIO;CARBONE  ANTONIO;IL RISTORO DEL VIANDANTE;VIA S.GIOVANNI,29;6;50;15;;nd
S. GIORGIO LA MOLARA;MANIERO ANGELINA;LE LAURE;C.DA LAURE, 2;12;40;;;nd
S. GIORGIO LA MOLARA;BOLLECCHINO MARIO;IL CASTELLO;C.DA CASTELLO;6;40;;;Agriturismo.castello@tiscali.it
S. GIORGIO LA MOLARA;LEPPA MARGHERITA;CARETTI;C.DA SANTA VARVA;6;28;;;agricaretti@libero.it
S. GIORGIO LA MOLARA;ANTONUCCI ANTONELLA;CAMPO DEI MONACI;C/DA CAMPO DEI MONACI;6;40;;;nd
SAN LORENZO MAGGIORE;IANNOTTI LIVIA;LA VECCHIA TRAINELLA;C/DA SAN MARZANO;11;40;;;lavecchiatrainella@libero.it
SAN LORENZELLO;MASTRACCHIO CATERINA;BORGO SAN LORENZELLO;VIA RUA,8;;10;;;nd
S. MARTINO SANNITA;ALTIERI CARMELINA;AGORA;VIA CHIESA;18;45;;;www.agriturismoagora.it
SAN NAZZARO;GUIDA GIANLUCA;LA SOSTA DEL PRINCIPE;VIA CONCILIO;;10;;;nd
SAN NAZZARO;ALBANESE ROCCO;TERRAMICA;VIA FRUSCIO,9/A (CALVI);;80;;;rocco.albanese@pec.agritel.it
S. SALVATORE TELESINO;FRANGIOSA ANGELINA;FRANGIOSA ANGELINA;VIA VARCO;;44;;;nd
S. SALVATORE TELESINO;DI PALMA ANTONIETTA;LA CORTE GRANDE;C.DA PUGLIANO;9;30;;;nd
SANT'AGATA DE' GOTI;MUSTILLI LEONARDO;MUSTILLI;VIA DEI FIORI 20-PIAZZA TRENTO, 4;12;80;;;info@mustilli.com
SANT'AGATA DE' GOTI;DI DOMENICO CLARA;PIANO DEL MONDO;C.DA PIANA DEL MONDO,14;12;40;;;nd
SANT'AGATA DE' GOTI;BURO ANTONIO;BURO ANTONIO;VIA PENNINO, 15;;100;;;www.agriturismoburo.it
SANT'AGATA DE' GOTI;CESARE GELSOMINA;LA PICCOLA FATTORIA AL SITO;C.DA PIANO DEL MONDO, 9;;40;;;nd
SANT'AGATA DE' GOTI;PASQUARELLA GIUSEPPINA;AGRITURISMO GIRASOLE;C.DA MACERE, 5;4;40;;;nd
SANT'AGATA DE' GOTI;RAZZANO  MARCO;L'APE REGINA;C.DA PALMENTATA, 19;8;80;;;www.agriturismoaperegina.it
SANT'AGATA DE' GOTI;SACCO  GAETANO;BORGO NUOVO;C.DA PIANA DEL MONDO;12;40;;;nd
SANT'AGATA DE' GOTI;BURO GIOVANNINA;L'AGRO ATELLANO;VIA SANTA MARIA SCOZZESE;8;40;;;agrotellano@yahoo.it
SANT'AGATA DE' GOTI;TASSARI AMELIA;ANTICO POZZO DEGLI ULIVI;C.DA PIANO DEL MONDO, 19;;40;;;nd
SANT'AGATA DE' GOTI;DIGLIO VINCENZO;LA ROSA DEI VENTI;C/DA TRAUGNANO;;40;;;nd
SANT'AGATA DE' GOTI;ROSSANO ANTONIETTA;LA MELA ANNURCA;C.DA LONGANO,51;;40;;;nd
SANT'AGATA DE' GOTI;BRACCIALI SIMONA;I CANTUCCI DI NONNO;c.da PRESTA,32;;40;;;www.agriturismoicantuccidinonno.com
SANT'AGATA DE' GOTI;FARINA  ASSUNTA;AGRITURISMO FENILE;C.DA PIANO,2;8;40;;;www.agriturismofenile.it
SANT'AGATA DE' GOTI;DE CHIARA  RENATO;I GIARDINI DI EIDOS;LOC. TUORO SCIGLIATO;10;26;;;www.giardinidieidon.it
SANT'AGATA DE' GOTI;ZAINO ANGELO;LE ROCCE;C.DA PARCO;12;;;;www.le-rocce.it
SOLOPACA;CUTILLO LUIGI;MASSERIA DELLA PROCACCIA;VIA PROCACCIA, 1;10;40;;;nd
SOLOPACA;TOMMASIELLO GESSICA;TOMMASIELLO GESSICA;VIA AIA VECCHIA,10;4;20;;;nd
TOCCO CAUDIO;CAPASSO COSIMO;MASSERIA VALLE DELLE VIE;C.DA SPERARA;12;40;;;nd
TORRECUSO;FRANGIOSA ALESSANDRO;MASSERIA FRANGIOSA;VIA TORREPALAZZO;13;80;;;nd
TORRECUSO;FALLUTO ANTONIO;DA ZI' MENNATO;C.DA SAUDE;6;40;3;;info@falluto.it
TORRECUSO;RILLO LIBERO;FONTANAVECCHIA;VIA FONTANAVECCHIA,7;2;25;;;nd
TORRECUSO;OCONE BENEDETTA;OCONE;VIA PEZZEII;16;;;;benedettaocone@pec.it
TORRECUSO;RILLO MARIA CONCETTA;FOSSO DELLA NOCE;VIA TORREUONO;4;32;;;fossodellanoce@gmail.com
TORRECUSO;IANNELLA  ANGELINA;IANNELLA;LOC. LIMITI,7;6;35;;;nd
TORRECUSO;IANNELLA  MARIA ANNUNZIATA;IANNELLA M.ANNUNZIATA;C.DA PEZZE II;13;;;;iannellamaria@pec.it
TORRECUSO;CARONE PAOLA;CARONE;LOC. FRAGNETA II,8;5;10;;;paola.carone@pec.agritel.it
VITULANO;SALERNO ANNAMARIA;VERDE RURALE;C.DA SANTO STEFANO;;50;;;nd
VITULANO;IORIO MARIA GRAZIA;VERDE RURALE;C/DA SANTO STEFANO;;50;;;nd
